time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-08-02T02:42:17.800Z,35.669,-97.3985,6.698,3,ml,,18,,0.38,us,us2000a3im,2017-08-03T13:34:47.478Z,"7km ENE of Edmond, Oklahoma",earthquake,1.4,5,,,reviewed,tul,tul
2017-08-02T02:32:11.870Z,45.5417,26.3054,133.24,4.8,mb,,18,0.258,1.23,us,us2000a3il,2017-08-02T14:31:35.670Z,"10km NW of Gura Teghii, Romania",earthquake,6,6.8,0.054,104,reviewed,us,us
2017-08-02T01:21:11.840Z,36.8296661,-121.5615005,6.37,2.45,md,48,57,0.02187,0.11,nc,nc72857026,2017-08-02T14:43:56.648Z,"2km SW of San Juan Bautista, California",earthquake,0.21,0.32,0.15,51,automatic,nc,nc
2017-08-02T01:06:23.730Z,37.4741669,-118.8335037,2.54,2.5,md,32,119,0.08999,0.05,nc,nc72857006,2017-08-02T04:04:02.487Z,"22km SSE of Mammoth Lakes, California",earthquake,0.27,0.85,0.15,29,automatic,nc,nc
2017-08-02T00:16:13.120Z,13.4796,-49.4136,10,5.2,mww,,59,8.905,1.13,us,us2000a3h2,2017-08-03T21:29:57.040Z,"North Atlantic Ocean",earthquake,9.1,1.8,0.078,16,reviewed,us,us
2017-08-01T22:15:56.440Z,36.1084,140.0501,50.51,4.8,mb,,115,1.553,1.15,us,us2000a3g4,2017-08-03T19:55:20.060Z,"7km E of Ishige, Japan",earthquake,5.6,6.4,0.045,151,reviewed,us,us
2017-08-01T22:02:55.810Z,-56.1549,-27.2466,91.92,4.8,mb,,64,5.612,0.76,us,us2000a3ge,2017-08-01T22:51:45.040Z,"60km N of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,10.6,8.1,0.092,36,reviewed,us,us
2017-08-01T19:43:48.390Z,36.5376,-98.9635,9.52,3.3,mb_lg,,111,0.1,0.68,us,us2000a3eb,2017-08-02T16:14:59.675Z,"24km ENE of Mooreland, Oklahoma",earthquake,2,5.7,0.051,101,reviewed,us,us
2017-08-01T18:07:31.510Z,38.8002,73.2111,104.15,4.3,mb,,65,1.761,1.23,us,us2000a3dt,2017-08-02T15:55:51.040Z,"37km SW of Karakul, Tajikistan",earthquake,6.1,8.7,0.109,24,reviewed,us,us
2017-08-01T17:50:15.600Z,0.0837,98.6132,36.02,4.5,mb,,72,1.595,0.88,us,us2000a3dp,2017-08-02T15:36:35.040Z,"139km NNW of Sikabaluan, Indonesia",earthquake,7.3,7.3,0.079,47,reviewed,us,us
2017-08-01T17:20:25.130Z,-49.5337,116.8761,10,5.1,mb,,53,16.594,0.91,us,us2000a3dd,2017-08-02T15:04:47.040Z,"Western Indian-Antarctic Ridge",earthquake,11,1.8,0.073,61,reviewed,us,us
2017-08-01T17:02:05.010Z,36.7622,140.6933,5.88,5,mww,,63,1.107,1.11,us,us2000a3d2,2017-08-03T19:57:34.875Z,"5km WSW of Kitaibaraki, Japan",earthquake,6,3.3,0.073,18,reviewed,us,us
2017-08-01T16:50:01.290Z,54.2138,169.3137,10,4.4,mb,,188,6.457,0.64,us,us2000a3cz,2017-08-01T18:36:31.040Z,"240km ESE of Nikol'skoye, Russia",earthquake,14.7,2,0.06,80,reviewed,us,us
2017-08-01T16:19:25.830Z,-21.8431,-68.4474,117.97,4.2,mb,,54,0.739,1.16,us,us2000a3cm,2017-08-01T17:25:18.040Z,"85km NE of Calama, Chile",earthquake,6,7.3,0.167,10,reviewed,us,us
2017-08-01T15:15:43.660Z,44.8033333,-111.0736667,7.51,2.8,ml,30,83,0.02445,0.12,uu,uu60220447,2017-08-01T21:41:24.999Z,"15km N of West Yellowstone, Montana",earthquake,0.29,0.32,0.261,7,reviewed,uu,uu
2017-08-01T13:16:12.730Z,44.8021667,-111.0778333,7.35,3.12,ml,31,81,0.02127,0.13,uu,uu60220422,2017-08-02T13:05:00.618Z,"15km N of West Yellowstone, Montana",earthquake,0.31,0.36,0.195,12,reviewed,uu,uu
2017-08-01T11:38:38.622Z,65.4748,-144.4943,13.4,3,ml,,,,0.54,ak,ak16394388,2017-08-01T11:46:11.699Z,"9km E of Circle Hot Springs Station, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-08-01T11:36:08.870Z,18.9336,-64.9443,33,3.02,md,4,291,1.0341,0.09,pr,pr2017213002,2017-08-01T16:33:20.465Z,"65km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.17,7.77,0.06,3,reviewed,pr,pr
2017-08-01T11:35:52.340Z,13.592,-91.1152,10,4.1,mb,,164,1.084,0.86,us,us2000a390,2017-08-01T12:30:01.040Z,"48km SW of Puerto San Jose, Guatemala",earthquake,8.2,2,0.091,33,reviewed,us,us
2017-08-01T11:00:07.930Z,31.2615,-116.812,5.61,3.64,ml,14,268,0.6175,0.22,ci,ci37719383,2017-08-01T16:54:42.158Z,"56km SSW of Maneadero, B.C., MX",earthquake,0.79,31.61,0.199,182,reviewed,ci,ci
2017-08-01T10:27:51.250Z,45.5537,26.3586,101.31,4.3,mb,,28,0.297,0.86,us,us2000a38c,2017-08-02T03:00:35.228Z,"9km NNW of Gura Teghii, Romania",earthquake,4.7,4.9,0.074,51,reviewed,us,us
2017-08-01T09:40:01.100Z,-6.0463,154.5276,429.78,5.1,mb,,62,13.345,0.7,us,us2000a363,2017-08-01T09:59:03.040Z,"110km WNW of Panguna, Papua New Guinea",earthquake,11.4,8.6,0.036,249,reviewed,us,us
2017-08-01T09:35:52.869Z,61.3655,-144.9101,2.4,2.8,ml,,,,0.85,ak,ak16393997,2017-08-01T17:38:27.934Z,"30km WSW of Chitina, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-08-01T09:35:26.090Z,61.6695,-149.6761,31.7,3.9,ml,,,,0.57,ak,ak16393989,2017-08-03T17:27:03.012Z,"6km NW of Meadow Lakes, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-08-01T08:54:48.810Z,-4.7915,153.2111,27.84,5,mb,,72,8.123,0.87,us,us2000a35i,2017-08-01T09:12:09.040Z,"40km SSE of Taron, Papua New Guinea",earthquake,9.9,5.7,0.054,108,reviewed,us,us
2017-08-01T08:50:23.800Z,19.1978,-67.344,71,3.16,md,9,292,0.7665,0.64,pr,pr2017213001,2017-08-01T11:53:24.683Z,"82km NNW of San Antonio, Puerto Rico",earthquake,5.93,12.36,0.2,9,reviewed,pr,pr
2017-08-01T07:42:22.400Z,36.446,-98.7907,6.93,2.9,mb_lg,,80,0.05,0.5,us,us2000a353,2017-08-01T07:49:27.040Z,"34km NW of Fairview, Oklahoma",earthquake,2.3,6.8,0.055,86,reviewed,us,us
2017-08-01T06:25:12.730Z,37.1274,-97.6009,5,3.4,mb_lg,,83,0.016,0.31,us,us2000a34d,2017-08-02T19:30:27.564Z,"10km N of Caldwell, Kansas",earthquake,1.1,1.8,0.057,81,reviewed,us,us
2017-08-01T06:13:53.920Z,-28.5555,-68.7057,85.07,5.6,mww,,33,1.405,0.96,us,us2000a34a,2017-08-02T20:38:43.040Z,"53km WNW of Vinchina, Argentina",earthquake,6.1,5.9,0.059,28,reviewed,us,us
2017-08-01T05:01:19.979Z,52.8569,-170.1067,36.4,3.4,ml,,,,0.75,ak,ak16392930,2017-08-01T05:37:51.698Z,"47km ENE of Yunaska Island, Alaska",earthquake,,3.6,,,reviewed,ak,ak
2017-08-01T05:00:26.020Z,51.8732,-176.277,58.09,5.2,mb,,130,0.252,0.98,us,us2000a33t,2017-08-03T22:22:41.866Z,"26km E of Adak, Alaska",earthquake,9.1,5.2,0.023,601,reviewed,us,us
2017-08-01T04:23:21.230Z,-52.9723,-4.5601,10,5.1,mb,,87,27.248,0.64,us,us2000a33m,2017-08-01T04:40:25.040Z,"Southern Mid-Atlantic Ridge",earthquake,4.9,1.9,0.081,50,reviewed,us,us
2017-08-01T01:02:37.957Z,56.6536,-154.8401,33.5,2.8,ml,,,,0.86,ak,ak16392578,2017-08-01T01:06:42.035Z,"104km NNE of Chirikof Island, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-08-01T00:11:20.490Z,40.4226685,-124.4146652,34.35,2.53,md,6,263,0.07913,0.03,nc,nc72855911,2017-08-01T03:30:03.736Z,"21km SW of Ferndale, California",earthquake,3.69,5.88,0.1,4,automatic,nc,nc
2017-07-31T23:16:54.650Z,36.9125,-3.6277,10,4,mb,,182,2.201,0.93,us,us2000a329,2017-08-02T10:43:47.200Z,"1km SSE of Albunuelas, Spain",earthquake,6.5,2,0.231,5,reviewed,us,us
